playername,cspm,dpm,killsat15,deathsat15,xpdiffat15,firstblood,golddiffat15
FATE,8.1687,558.7347,0,1,-1037,0,-965
FATE,8.2828,514.0637,0,0,-396,0,-176
Lava,8.1051,729.3264,1,0,396,0,176
nukeduck,9.8492,262.8894,2,0,866,0,1129
Dajor,8.995,234.6734,0,1,-866,1,-1129
Sertuss,9.1107,851.0738,0,0,-365,0,-59
NUCLEARINT,6.9966,399.4379,1,0,365,0,59
Reeker,7.9198,346.5672,0,0,-295,0,-407
Vetheo,11.194,686.7817,0,0,295,0,407
Perkz,6.1793,313.7353,0,1,-1516,1,-1586
Larssen,7.6521,576.3714,0,0,1516,0,1586
Humanoid,7.4367,270.443,1,0,122,0,-133
caPs,8.6076,287.9114,1,1,-122,1,133
Ablazeolive,8.8433,239.403,1,1,248,0,-1034
Abbedagge,10.3731,684.6642,1,1,-248,0,1034
Keaiduo,9.941,173.8053,0,0,108,0,-482
PowerOfEvil,9.0855,440.2065,0,0,-108,0,482
Bjergsen,10.6515,595.8757,0,0,-385,0,-767
jojopyun,10.6157,597.9199,0,0,385,0,767
Blue,9.8913,371.5094,1,1,-697,1,-160
toucouille,9.7086,707.6033,0,0,697,0,160
Palafox,9.8258,368.101,5,0,489,1,1968
Fudge,9.5122,656.054,0,0,-489,0,-1968
ShowMaker,9.1758,289.1091,0,1,-47,0,-360
Aria,9.09,262.5822,0,0,47,0,360
ShowMaker,9.1508,522.9721,0,0,1033,0,1523
Aria,6.6369,258.8715,0,1,-1033,0,-1523
ShowMaker,8.0386,283.5447,2,1,432,1,-124
Aria,8.467,476.6989,0,0,-432,0,124
Bdd,9.5535,223.0918,0,1,-252,0,-370
Faker,9.4019,340.0084,0,0,252,1,370
Bdd,8.7424,662.1978,0,1,1468,0,1406
Faker,7.619,497.094,0,2,-1468,0,-1406
Faker,7.3146,591.8764,1,0,262,0,-183
Bdd,7.4494,309.573,1,1,-262,0,183
jojopyun,8.2964,584.5459,2,0,315,0,469
PowerOfEvil,8.2422,512.1826,0,1,-315,0,-469
Abbedagge,9.3656,665.9054,0,1,1153,0,1413
toucouille,8.7659,681.4764,0,1,-1153,0,-1413
Keaiduo,10.1534,397.8528,1,1,-1212,0,-123
Fudge,10.0307,578.6196,0,0,1212,0,123
Ablazeolive,8.1127,365.9155,1,0,-501,1,229
