playername,cspm,dpm,killsat15,deathsat15,xpdiffat15,firstblood,golddiffat15
Clozer,10.4848,494.1037,0,0,60,0,230
PowerOfEvil,8.2422,512.1826,0,1,-315,0,-469
Blue,7.8328,596.4843,0,0,148,0,-446
Ablazeolive,10.1308,710.0187,0,0,125,0,-236
jojopyun,9.7361,474.7782,0,1,1142,0,1071
Vetheo,7.5789,385.969,0,0,-790,0,-1208
FATE,9.6708,606.6061,2,0,453,1,740
NUCLEARINT,7.121,456.4225,2,1,-1421,0,-940
Faker,8.7207,441.7529,0,0,566,0,197
Ophelia,7.373,220.8586,0,1,-729,0,-1549
FATE,7.7801,48.112,0,0,-792,0,-525
Ablazeolive,8.8447,730.8834,0,0,184,1,-41
ShowMaker,9.5094,738.0377,0,0,44,0,-293
Aria,10.3335,736.1081,0,0,-252,0,-1108
Abbedagge,6.9471,454.6269,1,2,-623,0,-30
Reeker,7.9198,346.5672,0,0,-295,0,-407
Nisqy,7.9632,1121.2352,0,0,1285,0,601
jojopyun,8.0201,744.0819,0,0,-680,0,-635
Perkz,7.606,418.7128,0,2,-425,0,-513
Perkz,7.0458,563.3491,0,0,-511,0,-728
Ten10,8.2619,371.2415,0,0,847,0,280
Lava,9.291,356.1101,0,0,99,0,229
Karis,6.7354,282.9591,0,0,-60,0,-175
Humanoid,9.7175,516.8113,0,0,272,0,59
caPs,9.1532,974.0789,2,1,94,0,44
Chovy,8.7396,611.53510000000006,2,1,765,0,17
toucouille,7.7894,483.9416,0,0,838,0,231
Aria,9.09,262.5822,0,0,47,0,360
nukeduck,8.6661,514.6113,0,0,1460,0,64
Karis,6.6603,242.9602,1,0,-300,0,-785
Abbedagge,8.6334,393.6665,0,1,-205,0,-153
ShowMaker,9.7191,586.236,0,0,462,1,382
Ablazeolive,8.8554,500.3133,1,0,478,0,230
Clozer,9.6038,735.5162,0,0,-9,0,-133
Palafox,7.7872,581.7191,1,0,323,0,284
Sertuss,8.345,844.4458,2,1,392,0,619
Faker,7.8238,325.9279,0,0,-285,0,469
Clozer,10.8532,1067.7474,0,0,-131,0,848
toucouille,8.1818,759.3905,3,0,77,0,332
PowerOfEvil,9.6996,423.8995,0,1,-305,0,-238
VicLa,9.249,391.5889,0,0,187,0,277
Blue,7.9783,518.806,0,2,623,0,30
ShowMaker,6.7569,412.8582,0,1,-134,0,700
Perkz,8.4281,573.4114,0,1,-161,0,-17
ShowMaker,9.9608,1220.4505,0,0,656,0,1115
Faker,7.619,497.094,0,2,-1468,0,-1406
Aria,6.6369,258.8715,0,1,-1033,0,-1523
FATE,7.5866,337.9328,1,0,395,1,1638
Abbedagge,8.7256,344.5277,0,0,142,0,-483
Bjergsen,7.8414,448.5169,1,1,-1318,0,-1404
